"Type","ID","Message Text","Source File","Definition in Code"
"DMsg","talk about","talk about","actor.t","DMsg(talk about, 'talk about ');"
"DMsg","give","give {him interlocutor}","actor.t","DMsg(give, 'give {him interlocutor} ');"
"DMsg","show","show {him interlocutor}","actor.t","DMsg(show, 'show {him interlocutor} ');"
"DMsg","ask for","ask {him interlocutor} for","actor.t","DMsg(ask for, 'ask {him interlocutor} for ');"
"DMsg","tell to","tell {him interlocutor} to","actor.t","DMsg(tell to, 'tell {him interlocutor} to ');"
"DMsg","or"," or","actor.t","DMsg(or, ' or ');"
"DMsg","cannot move while attached","{The subj cobj} {cannot} be moved while {he cobj} {is} attached to {the other}.","attachables.t","DMsg(cannot move while attached, '{The subj cobj} {cannot} be moved while {he cobj} {is} attached to {the other}. '); "
"DMsg","okay plug in","{I} plug{s/?ed} in {1}. ', gActionListStr","attachables.t","DMsg(okay plug in, '{I} plug{s/?ed} in {1}. ', gActionListStr); }"
"DMsg","debugger not present","Debugger not present.","debug.t","DMsg(debugger not present, 'Debugger not present. ');"
"DMsg","fiat lux","{I} suddenly {1} glowing. ', gPlayerChar.isLit ? 'start' : 'stop'","debug.t","DMsg(fiat lux, '{I} suddenly {1} glowing. ', gPlayerChar.isLit ? 'start' : 'stop' );"
"DMsg","no test scripts","There are no test scripts defined in this game.","debug.t","DMsg(no test scripts, 'There are no test scripts defined in this game. '); exit; }"
"DMsg","test sequence not found","Test sequence not found.","debug.t","DMsg(test sequence not found, 'Test sequence not found. '); }"
"DMsg","debug test now holding","{I} {am} {now} holding {1}.\n', makeListStr(testHolding, &theName)","debug.t","DMsg(debug test now holding, '{I} {am} {now} holding {1}.\n', makeListStr(testHolding, &theName)); }"
"DMsg","no shipboard directions","Shipboard directions {plural} {have}","doer.t","DMsg(no shipboard directions, 'Shipboard directions {plural} {have}"
"DMsg","no compass directions","Compass directions {plural} {have}","doer.t","DMsg(no compass directions, 'Compass directions {plural} {have}"
"DMsg","explain exits on off","<.p>Exit Listing can be adjusted with the following commands:\n EXITS ON -- show exits in both the status line and in room descriptions.\n EXITS OFF -- show exits neither in the status line nor in room descriptions.\n EXITS STATUS -- show exits in the status line only.\n EXITS LOOK -- show exits in room descriptions only.\n EXITS COLOR ON -- show unvisited exits in a different colour.\n EXITS COLOR OFF -- don\'t show unvisited exits in a different colour.\n EXITS COLOR RED / BLUE / GREEN / YELLOW -- show unvisted exits in the specified colour. <.p>","exits.t","DMsg(explain exits on off, '<.p>Exit Listing can be adjusted with the following commands:\n EXITS ON -- show exits in both the status line and in room descriptions.\n EXITS OFF -- show exits neither in the status line nor in room descriptions.\n EXITS STATUS -- show exits in the status line only.\n EXITS LOOK -- show exits in room descriptions only.\n EXITS COLOR ON -- show unvisited exits in a different colour.\n EXITS COLOR OFF -- don\'t show unvisited exits in a different colour.\n EXITS COLOR RED / BLUE / GREEN / YELLOW -- show unvisted exits in the specified colour. <.p>'); "
"DMsg","exits on off okay","Okay. Exit listing in the status line is now <<stat ? 'ON' : 'OFF'>>, while exit listing in room descriptions is now <<look ? 'ON' : 'OFF'>>.","exits.t","DMsg(exits on off okay, 'Okay. Exit listing in the status line is now <<stat ? 'ON' : 'OFF'>>, while exit listing in room descriptions is now <<look ? 'ON' : 'OFF'>>. ');"
"DMsg","no exits from here","There {plural} {are} no exits from {here}.","exits.t","DMsg(no exits from here, 'There {plural} {are} no exits from {here}. ');"
"DMsg","no exits","Exits: none.","exits.t","DMsg(no exits, 'Exits: none. ');"
"DMsg","no clear exits","It{dummy}{\'s} not clear where {i} {can} go from {here}.","exits.t","DMsg(no clear exits, 'It{dummy}{\'s} not clear where {i} {can} go from {here}. ');"
"DMsg","exits from here","From {here} {i} could go","exits.t","DMsg(exits from here, 'From {here} {i} could go ');"
"DMsg","current exit settings","Exits are listed <<if(inStatusLine && inRoomDesc)>> both in the status line and in room descriptions. <<else if(inStatusLine && !inRoomDesc)>> in the status line only. <<else if(!inStatusLine && inRoomDesc)>> in room descriptions only. <<else if(!inStatusLine && !inRoomDesc)>> ""neither in the status line nor in room descriptions. <<end>>","exits.t","DMsg(current exit settings, 'Exits are listed <<if(inStatusLine && inRoomDesc)>> both in the status line and in room descriptions. <<else if(inStatusLine && !inRoomDesc)>> in the status line only. <<else if(!inStatusLine && inRoomDesc)>> in room descriptions only. <<else if(!inStatusLine && !inRoomDesc)>> ""neither in the status line nor in room descriptions. <<end>>');"
"DMsg","posture already adopted","{I} {am} already {1}. ', pos.participle","postures.t","DMsg(posture already adopted, '{I} {am} already {1}. ', pos.participle);"
"DMsg","okay adopt posture","Okay, {i} {am} {now} {1}. ', pos.participle","postures.t","DMsg(okay adopt posture, 'Okay, {i} {am} {now} {1}. ', pos.participle); "
"DMsg","okay get on posture","{1} on {2}. ', gActor.posture.verbPhrase, gActionListStr","postures.t","DMsg(okay get on posture, '{1} on {2}. ', gActor.posture.verbPhrase, gActionListStr);"
"DMsg","collective group empty","There{\'s} no {1} {here}. ', name","extras.t","DMsg(collective group empty, 'There{\'s} no {1} {here}. ', name);"
"DMsg","carrying collective group","{I} {am} carrying {1}. ', makeListStr(heldLst)","extras.t","DMsg(carrying collective group, '{I} {am} carrying {1}. ', makeListStr(heldLst));"
"DMsg","collective group members","There{\'s} {1} {here}. ', makeListStr(lst)","extras.t","DMsg(collective group members, 'There{\'s} {1} {here}. ', makeListStr(lst));"
"DMsg","say departing up stairs","{The subj traveler} {goes} up {1}. ', theName","extras.t","DMsg(say departing up stairs, '{The subj traveler} {goes} up {1}. ', theName);"
"DMsg","say following up staircase","{The subj follower} follow{s/ed} {the leader} up {1}. ', theName","extras.t","DMsg(say following up staircase, '{The subj follower} follow{s/ed} {the leader} up {1}. ', theName);"
"DMsg","say departing down stairs","{The subj traveler} {goes} down {1}. ', theName","extras.t","DMsg(say departing down stairs, '{The subj traveler} {goes} down {1}. ', theName);"
"DMsg","say following down staircase","{The subj follower} follow{s/ed}","extras.t","DMsg(say following down staircase, '{The subj follower} follow{s/ed}"
"DMsg","click","Click!","gadget.t","DMsg(click, 'Click!'); }"
"DMsg","okay pulled","Done|{I} pull{s/ed} {1}', gActionListStr","gadget.t","DMsg(okay pulled, 'Done|{I} pull{s/ed} {1}', gActionListStr); }"
"DMsg","okay pushed","Done|{I} push{es/ed} {1}', gActionListStr","gadget.t","DMsg(okay pushed, 'Done|{I} push{es/ed} {1}', gActionListStr); }"
"DMsg","hints disabled","<.parser>Hints are now disabled.<./parser>","hintsys.t","DMsg(hints disabled, '<.parser>Hints are now disabled.<./parser> ');"
"DMsg","sorry hints disabled","<.parser>Sorry, but hints have been disabled for this session, as you requested. If you&rsquo;ve changed your mind, you&rsquo;ll have to save your current position, exit the TADS interpreter, and start a new interpreter session.<./parser>","hintsys.t","DMsg(sorry hints disabled, '<.parser>Sorry, but hints have been disabled for this session, as you requested. If you&rsquo;ve changed your mind, you&rsquo;ll have to save your current position, exit the TADS interpreter, and start a new interpreter session.<./parser> ');"
"DMsg","currently no hints","<.parser>Sorry, no hints are currently available. Please check back later.<./parser>","hintsys.t","DMsg(currently no hints, '<.parser>Sorry, no hints are currently available. Please check back later.<./parser> ');"
"DMsg","hints done","<.parser>Done.<./parser>","hintsys.t","DMsg(hints done, '<.parser>Done.<./parser> ');"
"DMsg","showHintWarning","<.notification>Warning: Some people don&rsquo;t like built-in hints, since the temptation to ask for help prematurely can become overwhelming when hints are so close at hand. If you&rsquo;re worried that your willpower won&rsquo;t hold up, you can disable hints for the rest of this session by typing <<aHref('hints off', 'HINTS OFF","hintsys.t","DMsg(showHintWarning, '<.notification>Warning: Some people don&rsquo;t like built-in hints, since the temptation to ask for help prematurely can become overwhelming when hints are so close at hand. If you&rsquo;re worried that your willpower won&rsquo;t hold up, you can disable hints for the rest of this session by typing <<aHref('hints off', 'HINTS OFF')"
"DMsg","explain extra hints","If you\'re new to Interactive Fiction and would like to read a few extra hints and tips that will pop up here and there as you explore the story, type <<cmdStr('ON')>>. If you decide you don\'t want any more of these bonus tips, simply type <<cmdStr('OFF')>>. '","hintsys.t","DMsg(explain extra hints, 'If you\'re new to Interactive Fiction and would like to read a few extra hints and tips that will pop up here and there as you explore the story, type <<cmdStr('ON')>>. If you decide you don\'t want any more of these bonus tips, simply type <<cmdStr('OFF')>>. ' );"
"DMsg","note with script","Comment recorded.","input.t","DMsg(note with script, 'Comment recorded. ');"
"DMsg","note without script warning","Comment NOT recorded.","input.t","DMsg(note without script warning, 'Comment NOT recorded. ');"
"DMsg","note without script","Comment NOT recorded.","input.t","DMsg(note without script, 'Comment NOT recorded. ');"
"DMsg","command prompt",">","main.t","DMsg(command prompt, '>');"
"DMsg","note main restore","Game restored.<.p>","misc.t","DMsg(note main restore, 'Game restored.<.p>');"
"DMsg","show finish msg","\b*** {1} ***\b\b', msg","misc.t","DMsg(show finish msg, '\b*** {1} ***\b\b', msg);"
"DMsg","invalid finish option","<q>{1}</q> was not one of the options.<.p>', resp","misc.t","DMsg(invalid finish option, '<q>{1}</q> was not one of the options.<.p>', resp);"
"DMsg","show version","{1} version {2}', nam, ver","modid.t","DMsg(show version, '{1} version {2}', nam, ver); "
"DMsg","token error","I don\'t understand the punctuation {1}', err.curChar_","parser.t","DMsg(token error, 'I don\'t understand the punctuation {1}', err.curChar_);"
"DMsg","empty command line","I beg your pardon?","parser.t","DMsg(empty command line, 'I beg your pardon?');"
"DMsg","not understood","I don\'t understand that command.","parser.t","DMsg(not understood, 'I don\'t understand that command.'); "
"DMsg","unknown word","I don\'t know the word ""{1}"".', badWord","parser.t","DMsg(unknown word, 'I don\'t know the word ""{1}"".', badWord);"
"DMsg","no oops now","Sorry, I\'m not sure what you\'re correcting.","parser.t","DMsg(no oops now, 'Sorry, I\'m not sure what you\'re correcting.');"
"DMsg","unmatched actor","{I} {see} no {1} {here}.', txt","parser.t","DMsg(unmatched actor, '{I} {see} no {1} {here}.', txt);"
"DMsg","unmatched noun","{I} {see} no {2} {here}.', cmd, stripArticle(txt)","parser.t","DMsg(unmatched noun, '{I} {see} no {2} {here}.', cmd, stripArticle(txt));"
"DMsg","no antecedent","I\'m not sure what you mean by ""{1}"".', np.prod.getText()","parser.t","DMsg(no antecedent, 'I\'m not sure what you mean by ""{1}"".', np.prod.getText());"
"DMsg","antecedent out of scope","{I} no longer {see} that {here}.', cmd","parser.t","DMsg(antecedent out of scope, '{I} no longer {see} that {here}.', cmd);"
"DMsg","nothing suitable for all","There{\'s} nothing suitable for ALL to refer to.","parser.t","DMsg(nothing suitable for all, 'There{\'s} nothing suitable for ALL to refer to. ');"
"DMsg","not enough nouns","{I} {don\'t see} that many {2} {here}.', cmd, txt","parser.t","DMsg(not enough nouns, '{I} {don\'t see} that many {2} {here}.', cmd, txt); "
"DMsg","none in owners","No {2} {dummy}appear{s/ed} to have any {3}.', cmd, possQual.prod.getText(), txt","parser.t","DMsg(none in owners, 'No {2} {dummy}appear{s/ed} to have any {3}.', cmd, possQual.prod.getText(), txt);"
"DMsg","none in owner","{The subj obj} {doesn\'t appear[ed]} to have any {2}.', cmd, txt","parser.t","DMsg(none in owner, '{The subj obj} {doesn\'t appear[ed]} to have any {2}.', cmd, txt);"
"DMsg","none in locations","{I} {see} no {2} {3} any {4}.', cmd, txt, locQual.locType.prep, locQual.prod.getText()","parser.t","DMsg(none in locations, '{I} {see} no {2} {3} any {4}.', cmd, txt, locQual.locType.prep, locQual.prod.getText());"
"DMsg","none in location","{I} {see} no {2} {3} {the 4}.', cmd, txt, locQual.locType.prep, locQual.matches[1].obj","parser.t","DMsg(none in location, '{I} {see} no {2} {3} {the 4}.', cmd, txt, locQual.locType.prep, locQual.matches[1].obj);"
"DMsg","none with contents in list","{I} {see} no {2} of {3}.', cmd, txt, contQual.prod.getText()","parser.t","DMsg(none with contents in list, '{I} {see} no {2} of {3}.', cmd, txt, contQual.prod.getText());"
"DMsg","none with contents","{I} {see} no {2} of {3}.', cmd, txt, contQual.matches[1].obj","parser.t","DMsg(none with contents, '{I} {see} no {2} of {3}.', cmd, txt, contQual.matches[1].obj);"
"DMsg","be more specific","I don\'t know which ones you mean. Can you be more specific?","parser.t","DMsg(be more specific, 'I don\'t know which ones you mean. Can you be more specific?');"
"DMsg","ordinal out of range","Sorry, I don\'t see what you\'re referring to.","parser.t","DMsg(ordinal out of range, 'Sorry, I don\'t see what you\'re referring to.');"
"DMsg","multi not allowed","Sorry; multiple objects aren\'t allowed with that command.","parser.t","DMsg(multi not allowed, 'Sorry; multiple objects aren\'t allowed with that command.'); "
"DMsg","container needs to be open","{The subj obj} need{s/ed} to be open for that.","precond.t","DMsg(container needs to be open, '{The subj obj} need{s/ed} to be open for that. ');"
